municipio,ano,mes,temp_media_mensal,temp_maxima_mensal,temp_minima_mensal,precipitacao_acumulada_mm,eto_acumulada_mm,vento_medio_mensal
Juazeiro,2020,10,29.225806451612904,37.2,20.2,3.9,240.88,22.129032258064516
Juazeiro,2020,11,26.626666666666665,34.8,19.6,64.8,165.26,20.986666666666668
Juazeiro,2020,12,28.73548387096774,35.8,21.0,5.7,227.36,22.129032258064516
Juazeiro,2021,1,28.561290322580643,36.1,21.7,10.0,210.51,21.496774193548386
Juazeiro,2021,2,27.807142857142857,36.5,21.5,42.7,158.51,18.307142857142857
Juazeiro,2021,3,28.57741935483871,35.5,21.4,19.5,203.31,20.848387096774193
Juazeiro,2021,4,26.983333333333334,35.6,21.4,39.5,162.09,20.233333333333334
Juazeiro,2021,5,25.58709677419355,33.0,19.2,4.2,158.9,23.20967741935484
Juazeiro,2021,6,25.103333333333335,33.1,17.6,8.3,155.03,23.94333333333333
Juazeiro,2021,7,24.309677419354838,33.5,18.9,7.3,149.83,25.932258064516127
Juazeiro,2021,8,24.451612903225808,33.1,17.0,0.7000000000000001,187.29,27.47741935483871
Juazeiro,2021,9,27.55,36.7,19.6,0.4,223.52,24.16
Juazeiro,2021,10,28.641935483870967,37.3,20.2,31.7,230.5,22.4741935483871
Juazeiro,2021,11,27.226666666666667,35.2,21.5,83.2,170.79,20.403333333333332
Juazeiro,2021,12,26.270967741935483,33.7,21.0,157.7,145.66,18.483870967741936
Juazeiro,2022,1,25.812903225806455,33.2,20.5,100.2,160.68,18.429032258064513
Juazeiro,2022,2,27.00714285714286,34.2,21.2,81.4,162.16,17.285714285714285
Juazeiro,2022,3,26.25483870967742,33.8,20.7,106.7,162.44,19.96451612903226
Juazeiro,2022,4,26.686666666666667,35.4,20.0,42.7,162.23,21.016666666666666
Juazeiro,2022,5,25.38064516129032,33.9,18.9,58.5,145.43,23.34193548387097
Juazeiro,2022,6,23.92,31.5,17.0,16.700000000000003,135.8,24.206666666666667
Juazeiro,2022,7,23.780645161290323,33.2,17.2,5.1,147.92,26.516129032258064
Juazeiro,2022,8,24.177419354838708,33.8,17.4,5.7,174.02,26.774193548387096
Juazeiro,2022,9,26.34,35.2,17.6,1.3,214.23,24.386666666666667
Juazeiro,2022,10,28.283870967741933,37.5,20.0,9.399999999999999,242.95,25.306451612903224
Juazeiro,2022,11,25.779999999999998,34.8,20.0,115.60000000000001,145.95,19.253333333333334
Juazeiro,2022,12,25.583870967741937,32.1,20.7,93.1,154.34,17.700000000000003
Juazeiro,2023,1,26.603225806451615,34.0,21.0,36.9,177.10999999999999,18.38064516129032
Juazeiro,2023,2,28.13214285714286,35.2,21.3,40.1,184.85,21.417857142857144
Juazeiro,2023,3,26.983870967741936,36.1,20.0,88.7,175.85,19.96451612903226
Juazeiro,2023,4,26.759999999999998,34.3,20.5,42.0,158.29,18.65666666666667
Juazeiro,2023,5,25.20967741935484,31.5,20.0,22.4,126.22,21.44516129032258
Juazeiro,2023,6,24.366666666666667,31.1,19.0,9.6,130.95,25.596666666666668
Juazeiro,2023,7,25.02258064516129,33.7,17.5,1.5,173.2,25.067741935483873
Juazeiro,2023,8,26.229032258064517,36.0,17.8,3.1,187.07,22.538709677419355
Juazeiro,2023,9,27.696666666666665,37.4,19.2,0.6000000000000001,222.04,25.240000000000002
Juazeiro,2023,10,29.59032258064516,38.8,20.8,0.1,260.65,24.003225806451614
Juazeiro,2023,11,29.923333333333336,37.8,22.0,24.3,226.73,21.05666666666667
Juazeiro,2023,12,29.66774193548387,39.0,21.2,32.699999999999996,227.43,23.148387096774194
Juazeiro,2024,1,27.9741935483871,36.5,22.2,136.0,163.59,15.570967741935485
Juazeiro,2024,2,26.679310344827588,34.0,21.0,82.4,147.13,18.47241379310345
Juazeiro,2024,3,27.858064516129033,35.3,21.5,49.9,171.75,17.703225806451613
Juazeiro,2024,4,26.636666666666667,33.2,21.8,96.2,141.04,19.686666666666667
Juazeiro,2024,5,26.190322580645162,34.7,20.0,19.0,151.33,23.648387096774194
Juazeiro,2024,6,25.10666666666667,32.3,19.3,16.4,146.45,24.776666666666664
Juazeiro,2024,7,24.52258064516129,32.0,16.9,10.9,168.07,25.787096774193547
Juazeiro,2024,8,25.693548387096776,36.0,17.9,1.2,201.82,25.822580645161292
Juazeiro,2024,9,27.063333333333333,35.7,17.8,0.6000000000000001,233.35999999999999,25.506666666666668
Juazeiro,2024,10,28.92258064516129,38.2,19.6,26.8,236.36,21.822580645161292
Juazeiro,2024,11,28.720000000000002,37.0,21.6,45.7,205.23,19.64
Juazeiro,2024,12,29.809677419354838,37.2,22.6,3.1999999999999997,227.92000000000002,18.641935483870967
Petrolina,2013,1,28.26451612903226,36.1,22.5,65.0,191.04,18.980645161290322
Petrolina,2013,2,29.599999999999998,36.8,22.3,0.1,230.29,23.467857142857145
Petrolina,2013,3,29.55806451612903,38.4,22.3,18.2,218.94,20.067741935483873
Petrolina,2013,4,27.57,36.4,21.3,32.4,162.3,22.009999999999998
Petrolina,2013,5,26.654838709677417,35.1,21.1,6.3,164.11,22.48709677419355
Petrolina,2013,6,25.87,32.9,19.5,1.8,157.91,23.43
Petrolina,2013,7,24.73548387096774,32.7,18.4,5.8,163.22,24.751612903225805
Petrolina,2013,8,24.683870967741935,35.1,16.5,1.0,177.57,25.293548387096774
Petrolina,2013,9,26.323333333333334,36.5,18.6,0.2,208.03,24.83
Petrolina,2013,10,27.616129032258065,37.5,20.3,0.4,230.37,25.396774193548385
Petrolina,2013,11,27.86,36.2,21.2,21.2,214.0,22.3
Petrolina,2013,12,26.980645161290322,36.5,21.2,159.2,159.43,16.364516129032257
Petrolina,2014,1,27.91290322580645,35.7,20.9,0.8,227.59,21.93548387096774
