ano,mes,municipio,produto,quantidade_produzida_t,preco_medio_r$_kg,area_colhida_ha,rendimento_medio_kg_ha,temp_media_mensal,temp_maxima_mensal,temp_minima_mensal,precipitacao_acumulada_mm,eto_acumulada_mm,vento_medio_mensal,gdd_mensal,deficit_hidrico_mm,indice_stress_hidrico,amplitude_termica,dias_temp_otima_est
2016,5,JUAZEIRO,Manga,108900,1.81,2130,51127,27.0,35.6,20.8,3.7,176.74,22.68387096774193,17.0,-173.04000000000002,97.90652936516918,14.8,22.86030432775782
2016,6,JUAZEIRO,Manga,108900,1.81,2130,51127,25.48333333333333,35.1,19.0,1.5,155.26,23.59333333333333,15.48333333333333,-153.76,99.03387865515909,16.1,23.476581184356494
2016,7,JUAZEIRO,Manga,108900,1.81,2130,51127,24.60322580645161,34.2,18.3,0.4,170.4,24.932258064516127,14.603225806451611,-170.0,99.76525821596243,15.900000000000002,23.678826935314802
2016,8,JUAZEIRO,Manga,108900,1.81,2130,51127,25.18387096774193,34.9,17.9,1.7,192.17,23.996774193548383,15.183870967741932,-190.47,99.11536660248737,17.0,22.80460494855504
2016,9,JUAZEIRO,Manga,108900,1.81,2130,51127,26.836666666666662,35.9,18.9,0.2,211.16,24.26333333333333,16.836666666666662,-210.96,99.90528509187347,17.0,21.53423208655343
2016,10,JUAZEIRO,Manga,108900,1.81,2130,51127,28.35483870967742,37.0,21.0,8.5,238.73,24.35483870967742,18.35483870967742,-230.23,96.43949231349222,16.0,19.23609704991235
2016,11,JUAZEIRO,Manga,108900,1.81,2130,51127,29.05,37.8,21.4,7.300000000000001,228.24,22.540000000000003,19.05,-220.94,96.80161233788994,16.4,17.339141052426644
2016,12,JUAZEIRO,Manga,108900,1.81,2130,51127,29.38387096774193,36.9,22.0,9.8,225.36,21.700000000000003,19.38387096774193,-215.56,95.65140220092296,14.899999999999999,16.79415438018776
2016,1,JUAZEIRO,Uva,39400,5.792307692307692,1576,25000,25.948387096774194,36.1,20.6,215.7,118.67,14.606451612903228,15.948387096774194,97.02999999999999,0.0,15.5,23.692149814689454
2016,2,JUAZEIRO,Uva,39400,5.792307692307692,1576,25000,27.658620689655173,36.0,20.7,9.4,193.96,20.46896551724138,17.658620689655173,-184.56,95.15363992575789,15.3,21.214315530778478
2016,3,JUAZEIRO,Uva,39400,5.792307692307692,1576,25000,29.62903225806452,36.3,22.8,5.7,226.11,21.50967741935484,19.62903225806452,-220.41000000000003,97.47910309141568,13.499999999999996,16.247911070872405
2016,4,JUAZEIRO,Uva,39400,5.792307692307692,1576,25000,28.73,35.9,21.3,1.5,206.62,22.676666666666662,18.73,-205.12,99.27402961959152,14.599999999999998,18.830277201091544
2016,5,JUAZEIRO,Uva,39400,5.792307692307692,1576,25000,27.0,35.6,20.8,3.7,176.74,22.68387096774193,17.0,-173.04000000000002,97.90652936516918,14.8,22.86030432775782
2016,6,JUAZEIRO,Uva,39400,5.792307692307692,1576,25000,25.48333333333333,35.1,19.0,1.5,155.26,23.59333333333333,15.48333333333333,-153.76,99.03387865515909,16.1,23.476581184356494
2016,7,JUAZEIRO,Uva,39400,5.792307692307692,1576,25000,24.60322580645161,34.2,18.3,0.4,170.4,24.932258064516127,14.603225806451611,-170.0,99.76525821596243,15.900000000000002,23.678826935314802
2016,8,JUAZEIRO,Uva,39400,5.792307692307692,1576,25000,25.18387096774193,34.9,17.9,1.7,192.17,23.996774193548383,15.183870967741932,-190.47,99.11536660248737,17.0,22.80460494855504
2016,9,JUAZEIRO,Uva,39400,5.792307692307692,1576,25000,26.836666666666662,35.9,18.9,0.2,211.16,24.26333333333333,16.836666666666662,-210.96,99.90528509187347,17.0,21.53423208655343
2016,10,JUAZEIRO,Uva,39400,5.792307692307692,1576,25000,28.35483870967742,37.0,21.0,8.5,238.73,24.35483870967742,18.35483870967742,-230.23,96.43949231349222,16.0,19.23609704991235
2016,11,JUAZEIRO,Uva,39400,5.792307692307692,1576,25000,29.05,37.8,21.4,7.300000000000001,228.24,22.540000000000003,19.05,-220.94,96.80161233788994,16.4,17.339141052426644
2016,12,JUAZEIRO,Uva,39400,5.792307692307692,1576,25000,29.38387096774193,36.9,22.0,9.8,225.36,21.700000000000003,19.38387096774193,-215.56,95.65140220092296,14.899999999999999,16.79415438018776
2017,1,JUAZEIRO,Manga,144770,1.42,7458,19411,29.55806451612903,36.5,22.5,5.6,251.74,24.68387096774193,19.55806451612903,-246.14000000000001,97.77548264081989,14.0,16.41244520611266
2017,2,JUAZEIRO,Manga,144770,1.42,7458,19411,28.75,35.5,22.1,36.4,191.47,22.442857142857143,18.75,-155.07,80.98918890687837,13.399999999999999,19.229227983124197
2017,3,JUAZEIRO,Manga,144770,1.42,7458,19411,28.69032258064516,36.2,22.5,75.5,204.57,20.76129032258065,18.69032258064516,-129.07,63.09331769076599,13.700000000000003,19.299834368949547
2017,4,JUAZEIRO,Manga,144770,1.42,7458,19411,27.59,35.0,21.0,46.7,175.05,22.80333333333333,17.59,-128.35000000000002,73.32190802627821,14.0,22.181876363917855
2017,5,JUAZEIRO,Manga,144770,1.42,7458,19411,26.296774193548387,34.9,19.2,51.9,152.11,23.580645161290324,16.296774193548387,-100.21000000000001,65.87995529550983,15.7,23.188792822377998
2017,6,JUAZEIRO,Manga,144770,1.42,7458,19411,24.3,31.8,19.0,11.5,125.27,25.956666666666667,14.3,-113.77,90.81982916899497,12.8,26.191487075866412
2017,7,JUAZEIRO,Manga,144770,1.42,7458,19411,22.661290322580644,30.6,17.4,8.9,128.84,29.88387096774193,12.661290322580644,-119.94,93.09220738900963,13.200000000000003,23.30788590146668
2017,8,JUAZEIRO,Manga,144770,1.42,7458,19411,24.63225806451613,32.9,18.0,2.2,176.9,26.01935483870968,14.63225806451613,-174.70000000000002,98.75635952515546,14.899999999999999,24.551321488371016
2017,9,JUAZEIRO,Manga,144770,1.42,7458,19411,23.96333333333333,32.3,19.0,9.5,153.68,29.37,13.963333333333331,-144.18,93.81832378969287,13.299999999999997,25.45934626757717
2017,10,JUAZEIRO,Manga,144770,1.42,7458,19411,26.993548387096773,35.3,20.1,2.8000000000000003,225.21,26.41290322580645,16.993548387096773,-222.41,98.75671595399848,15.199999999999996,22.581714434313355
2017,11,JUAZEIRO,Manga,144770,1.42,7458,19411,28.426666666666662,36.3,21.0,22.1,202.86,22.92,18.426666666666662,-180.76000000000002,89.10578724243321,15.299999999999997,19.373661864679153
2017,12,JUAZEIRO,Manga,144770,1.42,7458,19411,28.48709677419355,36.0,21.4,35.9,202.44,21.677419354838708,18.48709677419355,-166.54,82.26635052361193,14.600000000000001,19.52142159697899
2017,1,JUAZEIRO,Uva,32000,5.236,1150,27826,29.55806451612903,36.5,22.5,5.6,251.74,24.68387096774193,19.55806451612903,-246.14000000000001,97.77548264081989,14.0,16.41244520611266
2017,2,JUAZEIRO,Uva,32000,5.236,1150,27826,28.75,35.5,22.1,36.4,191.47,22.442857142857143,18.75,-155.07,80.98918890687837,13.399999999999999,19.229227983124197
2017,3,JUAZEIRO,Uva,32000,5.236,1150,27826,28.69032258064516,36.2,22.5,75.5,204.57,20.76129032258065,18.69032258064516,-129.07,63.09331769076599,13.700000000000003,19.299834368949547
2017,4,JUAZEIRO,Uva,32000,5.236,1150,27826,27.59,35.0,21.0,46.7,175.05,22.80333333333333,17.59,-128.35000000000002,73.32190802627821,14.0,22.181876363917855
2017,5,JUAZEIRO,Uva,32000,5.236,1150,27826,26.296774193548387,34.9,19.2,51.9,152.11,23.580645161290324,16.296774193548387,-100.21000000000001,65.87995529550983,15.7,23.188792822377998
2017,6,JUAZEIRO,Uva,32000,5.236,1150,27826,24.3,31.8,19.0,11.5,125.27,25.956666666666667,14.3,-113.77,90.81982916899497,12.8,26.191487075866412
2017,7,JUAZEIRO,Uva,32000,5.236,1150,27826,22.661290322580644,30.6,17.4,8.9,128.84,29.88387096774193,12.661290322580644,-119.94,93.09220738900963,13.200000000000003,23.30788590146668
2017,8,JUAZEIRO,Uva,32000,5.236,1150,27826,24.63225806451613,32.9,18.0,2.2,176.9,26.01935483870968,14.63225806451613,-174.70000000000002,98.75635952515546,14.899999999999999,24.551321488371016
2017,9,JUAZEIRO,Uva,32000,5.236,1150,27826,23.96333333333333,32.3,19.0,9.5,153.68,29.37,13.963333333333331,-144.18,93.81832378969287,13.299999999999997,25.45934626757717
2017,10,JUAZEIRO,Uva,32000,5.236,1150,27826,26.993548387096773,35.3,20.1,2.8000000000000003,225.21,26.41290322580645,16.993548387096773,-222.41,98.75671595399848,15.199999999999996,22.581714434313355
2017,11,JUAZEIRO,Uva,32000,5.236,1150,27826,28.426666666666662,36.3,21.0,22.1,202.86,22.92,18.426666666666662,-180.76000000000002,89.10578724243321,15.299999999999997,19.373661864679153
2017,12,JUAZEIRO,Uva,32000,5.236,1150,27826,28.48709677419355,36.0,21.4,35.9,202.44,21.677419354838708,18.48709677419355,-166.54,82.26635052361193,14.600000000000001,19.52142159697899
2018,1,JUAZEIRO,Manga,148368,1.11,8527,17400,27.97741935483871,35.2,21.8,49.6,199.06,21.47741935483871,17.97741935483871,-149.46,75.08288958103084,13.400000000000002,21.551144687892833
2018,2,JUAZEIRO,Manga,148368,1.11,8527,17400,26.24285714285714,34.1,21.2,90.4,130.6,18.02857142857143,16.24285714285714,-40.19999999999999,30.781010719754963,12.900000000000002,25.546309945051078
2018,3,JUAZEIRO,Manga,148368,1.11,8527,17400,26.90967741935484,34.0,20.6,91.9,152.6,17.34193548387097,16.90967741935484,-60.69999999999999,39.777195281782426,13.399999999999999,24.068586583209054
2018,4,JUAZEIRO,Manga,148368,1.11,8527,17400,26.2,33.7,20.7,34.0,149.12,22.383333333333333,16.2,-115.12,77.19957081545064,13.000000000000004,25.518875040377928
2018,5,JUAZEIRO,Manga,148368,1.11,8527,17400,25.50967741935484,34.3,20.1,4.2,146.14,24.806451612903224,15.50967741935484,-141.94,97.12604351991241,14.199999999999996,25.10142754967181
2018,6,JUAZEIRO,Manga,148368,1.11,8527,17400,24.53,31.0,18.1,4.9,140.01,25.35666666666667,14.530000000000001,-135.10999999999999,96.50024998214413,12.899999999999999,26.250188575814942
2018,7,JUAZEIRO,Manga,148368,1.11,8527,17400,24.296774193548387,30.8,17.9,2.8,159.83,25.758064516129032,14.296774193548387,-157.03,98.24813864731277,12.900000000000002,26.103933264351273
2018,8,JUAZEIRO,Manga,148368,1.11,8527,17400,25.541935483870965,33.6,18.0,1.8,193.33,24.3,15.541935483870965,-191.53,99.06894946464594,15.600000000000001,23.875291478891736
2018,9,JUAZEIRO,Manga,148368,1.11,8527,17400,26.793333333333333,35.2,18.7,1.3,211.63,25.05333333333333,16.793333333333333,-210.32999999999998,99.38572036100743,16.500000000000004,21.95214987368919
2018,10,JUAZEIRO,Manga,148368,1.11,8527,17400,28.316129032258065,36.5,20.2,23.4,214.25,22.73225806451613,18.316129032258065,-190.85,89.0781796966161,16.3,19.189208422901988
2018,11,JUAZEIRO,Manga,148368,1.11,8527,17400,29.006666666666668,36.4,21.3,6.5,228.06,26.33,19.006666666666668,-221.56,97.14987284048058,15.099999999999998,17.857717893681087
2018,12,JUAZEIRO,Manga,148368,1.11,8527,17400,26.425806451612903,34.7,20.0,118.4,163.91,18.845161290322583,16.425806451612903,-45.50999999999999,27.765237020316025,14.700000000000003,23.832878084890783
